used_keys,combination
"('doi', 'journal', 'title')","[[""'doi'"", ''], [""'doi'"", ""'title'""], [""'journal'"", ""'title'""], [""'title'"", '']]"
"('doi', 'number')","[[""'doi'"", ''], [""'doi'"", ""'number'""]]"
"('author', 'journal', 'number', 'pages', 'title')","[[""'pages'"", ""'title'""], [""'author'"", ""'pages'"", ""'title'""], [""'number'"", ""'pages'"", ""'title'""], [""'author'"", ""'number'"", ""'pages'"", ""'title'""], [""'author'"", ""'journal'"", ""'number'"", ""'title'""], [""'journal'"", ""'number'"", ""'title'""], [""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'title'""], [""'journal'"", ""'number'"", ""'pages'"", ""'title'""], [""'author'"", ""'journal'"", ""'pages'""], [""'author'"", ""'journal'"", ""'pages'"", ""'title'""], [""'journal'"", ""'pages'"", ""'title'""], [""'author'"", ""'journal'"", ""'number'"", ""'pages'"", ""'title'""], [""'author'"", ""'journal'"", ""'number'"", ""'pages'""], [""'journal'"", ""'pages'""], [""'journal'"", ""'number'"", ""'pages'""], [""'author'"", ""'number'"", ""'title'""], [""'author'"", ""'number'"", ""'pages'""], [""'number'"", ""'title'""], [""'author'"", ""'title'""], [""'author'"", ""'pages'""], [""'title'"", '']]"
"('doi', 'number', 'title')","[[""'doi'"", ''], [""'doi'"", ""'number'""], [""'doi'"", ""'title'""], [""'doi'"", ""'number'"", ""'title'""], [""'number'"", ""'title'""], [""'title'"", '']]"
"('author', 'doi', 'number', 'title')","[[""'doi'"", ''], [""'doi'"", ""'number'""], [""'doi'"", ""'title'""], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'number'""], [""'author'"", ""'doi'"", ""'number'"", ""'title'""], [""'doi'"", ""'number'"", ""'title'""], [""'author'"", ""'doi'"", ""'title'""], [""'author'"", ""'number'"", ""'title'""], [""'number'"", ""'title'""], [""'author'"", ""'title'""], [""'title'"", '']]"
"('author', 'doi', 'number', 'year')","[[""'doi'"", ''], [""'doi'"", ""'number'""], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'number'""], [""'author'"", ""'doi'"", ""'number'"", ""'year'""], [""'doi'"", ""'year'""], [""'author'"", ""'doi'"", ""'year'""], [""'doi'"", ""'number'"", ""'year'""], [""'author'"", ""'number'"", ""'year'""]]"
"('title',)","[[""'title'"", '']]"
"('journal', 'number', 'title', 'year')","[[""'number'"", ""'title'"", ""'year'""], [""'journal'"", ""'number'"", ""'title'"", ""'year'""], [""'journal'"", ""'title'"", ""'year'""], [""'journal'"", ""'number'"", ""'title'""], [""'journal'"", ""'title'""], [""'number'"", ""'title'""], [""'title'"", ""'year'""], [""'title'"", '']]"
"('journal', 'title')","[[""'journal'"", ""'title'""], [""'title'"", '']]"
"('doi', 'journal', 'number', 'pages', 'year')","[[""'doi'"", ''], [""'doi'"", ""'number'""], [""'doi'"", ""'number'"", ""'pages'""], [""'doi'"", ""'year'""], [""'doi'"", ""'pages'"", ""'year'""], [""'doi'"", ""'pages'""], [""'doi'"", ""'number'"", ""'pages'"", ""'year'""], [""'doi'"", ""'number'"", ""'year'""], [""'journal'"", ""'pages'"", ""'year'""], [""'journal'"", ""'number'"", ""'pages'"", ""'year'""], [""'journal'"", ""'pages'""], [""'journal'"", ""'number'"", ""'pages'""], [""'number'"", ""'pages'"", ""'year'""]]"
